127.0.0.1 - - [03/Jun/2018:16:43:48 +0545] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:43:49 +0545] "GET /springproject/ HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:43:52 +0545] "GET /springproject/student HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:43:59 +0545] "POST /springproject/student HTTP/1.1" 500 28608
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:44:04 +0545] "POST /springproject/student HTTP/1.1" 500 28608
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:44:51 +0545] "POST /springproject/student HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:45:39 +0545] "POST /springproject/student HTTP/1.1" 200 1307
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:50:30 +0545] "GET /springproject/userlogin HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:51:38 +0545] "GET /springproject/ HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:58:46 +0545] "GET /springproject/ HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:58:48 +0545] "GET /springproject/ HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:58:50 +0545] "GET /springproject/student HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:58:53 +0545] "POST /springproject/student HTTP/1.1" 500 5362
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:58:56 +0545] "POST /springproject/student HTTP/1.1" 500 5362
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:59:26 +0545] "GET /springproject/student HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:59:28 +0545] "POST /springproject/student HTTP/1.1" 500 5361
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:59:48 +0545] "GET /springproject/student HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:59:49 +0545] "POST /springproject/student HTTP/1.1" 200 2755
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:59:56 +0545] "GET /springproject/10/delete HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:00:03 +0545] "GET /springproject/10/edit HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:00:22 +0545] "GET /springproject/home.jsp HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:00:34 +0545] "GET /springproject/userlogin HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:00:51 +0545] "POST /springproject/userlogin HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:02:28 +0545] "GET /springproject/student HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:02:30 +0545] "POST /springproject/student HTTP/1.1" 200 2986
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:10:46 +0545] "POST /springproject/student HTTP/1.1" 200 1600
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:10:50 +0545] "GET /springproject/17/delete HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:11:24 +0545] "GET /springproject/17/delete HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:11:26 +0545] "GET /springproject/17/delete HTTP/1.1" 500 5267
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:11:27 +0545] "GET /springproject/17/delete HTTP/1.1" 500 5267
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:11:34 +0545] "POST /springproject/student HTTP/1.1" 200 1600
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:11:38 +0545] "GET /springproject/18/delete HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:12:16 +0545] "GET /springproject/18/delete HTTP/1.1" 500 5267
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:12:17 +0545] "GET /springproject/18/delete HTTP/1.1" 500 5267
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:12:23 +0545] "POST /springproject/student HTTP/1.1" 200 1600
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:12:28 +0545] "GET /springproject/19/delete HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:25:21 +0545] "GET /springproject/19/delete HTTP/1.1" 500 5267
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:25:23 +0545] "GET /springproject/19/delete HTTP/1.1" 500 5267
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:25:24 +0545] "GET /springproject/19/delete HTTP/1.1" 500 5267
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:25:29 +0545] "POST /springproject/student HTTP/1.1" 200 1600
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:25:31 +0545] "GET /springproject/20/edit HTTP/1.1" 200 1987
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:25:51 +0545] "POST /springproject/update HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:26:21 +0545] "GET /springproject/20/edit HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:26:22 +0545] "POST /springproject/update HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:32:34 +0545] "GET /springproject/ HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:32:37 +0545] "GET /springproject/userlogin HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:32:43 +0545] "POST /springproject/userlogin HTTP/1.1" 200 1609
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:32:53 +0545] "GET /springproject/20/edit HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:33:31 +0545] "POST /springproject/update HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:33:43 +0545] "POST /springproject/update HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [03/Jun/2018:17:33:54 +0545] "GET /springproject/ HTTP/1.1" 200 414
