127.0.0.1 - - [11/Jul/2018:10:22:04 +0545] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:22:06 +0545] "GET /springproject/ HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:22:06 +0545] "GET /springproject/resources/css/style.css HTTP/1.1" 200 4424
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:22:53 +0545] "GET /springproject/ HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:22:53 +0545] "GET /springproject/resources/css/style.css HTTP/1.1" 200 4424
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:10 +0545] "POST /springproject/userlogin HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:10 +0545] "GET /springproject/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 82814
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:10 +0545] "GET /springproject/resources/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:10 +0545] "GET /springproject/resources/js/jquery-1.12.3.min.js HTTP/1.1" 200 85582
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:10 +0545] "GET /springproject/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 15274
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:10 +0545] "GET /springproject/resources/images/sort_asc.png HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:10 +0545] "GET /springproject/resources/images/sort_both.png HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:31 +0545] "GET /springproject/gallery HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:31 +0545] "GET /springproject/resources/imgs/003.jpg HTTP/1.1" 200 60583
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:31 +0545] "GET /springproject/resources/imgs/005.jpg HTTP/1.1" 200 57002
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:31 +0545] "GET /springproject/resources/imgs/002.jpg HTTP/1.1" 200 67125
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:31 +0545] "GET /springproject/resources/imgs/007.jpg HTTP/1.1" 200 64717
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:31 +0545] "GET /springproject/resources/imgs/006.jpg HTTP/1.1" 200 63999
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:31 +0545] "GET /springproject/resources/imgs/004.jpg HTTP/1.1" 200 67852
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:31 +0545] "GET /springproject/resources/imgs/009.jpg HTTP/1.1" 200 61225
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:31 +0545] "GET /springproject/resources/imgs/008.jpg HTTP/1.1" 200 64557
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:33 +0545] "POST /springproject/userlogin HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:33 +0545] "GET /springproject/resources/images/sort_asc.png HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:33 +0545] "GET /springproject/resources/images/sort_both.png HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:41 +0545] "GET /springproject/student HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:46 +0545] "POST /springproject/userlogin HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:46 +0545] "GET /springproject/resources/images/sort_asc.png HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:46 +0545] "GET /springproject/resources/images/sort_both.png HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [11/Jul/2018:10:24:46 +0545] "GET /springproject/ HTTP/1.1" 200 1051
